gene_id,c1,c2,c3,cd1,cd2,cu1,cu2
NIS_RS10200,546,94,334,109,90,377,126
NIS_RS06375,1073,287,570,192,218,1395,504
NIS_RS06380,1854,361,1180,500,398,3947,1764
NIS_RS06385,812,151,607,292,233,765,338
NIS_RS06390,1955,810,1784,1057,898,868,490
NIS_RS06395,3528,1086,2099,414,380,2684,1504
NIS_RS06400,6427,2363,4345,1359,1199,4230,2103
NIS_RS06405,2263,671,1303,402,269,2368,873
NIS_RS06410,3725,1329,2284,660,486,3485,1464
NIS_RS06415,5889,2537,4719,1502,1276,6242,3265
NIS_RS06420,2448,492,665,159,152,2372,1042
NIS_RS06425,5084,1818,2170,505,429,6337,5694
NIS_RS06430,26214,14270,36319,9642,7439,37806,30768
NIS_RS06435,807,151,567,385,391,344,186
NIS_RS06440,5982,895,1687,891,790,1790,652
NIS_RS06445,10401,1225,2777,1616,1455,4660,2418
NIS_RS06450,4730,813,2620,2007,1532,697,384
NIS_RS06455,1425,336,637,858,750,60,101
NIS_RS06460,3793,3348,4521,4391,3663,4927,1465
NIS_RS06465,571,511,695,819,633,730,168
NIS_RS06470,2021,1099,1354,781,609,2115,786
NIS_RS06475,2210,457,1000,421,342,2926,987
NIS_RS06480,4043,847,2113,921,828,2729,933
NIS_RS06485,9868,1223,4307,1088,793,5346,3322
NIS_RS06490,3230,1068,2617,1249,859,7691,3817
NIS_RS06495,77602,23113,74768,18934,15114,79971,43738
NIS_RS06500,11420,2485,6171,1439,1165,6353,3354
NIS_RS06505,20879,5642,11754,4501,3650,10365,10468
NIS_RS06510,6638,2265,6683,2031,1600,5517,2353
NIS_RS06515,448,208,262,42,48,651,221
NIS_RS06520,684,221,361,85,64,1005,406
NIS_RS06525,1984,750,1010,273,204,2035,527
NIS_RS06530,4836,1813,2229,1189,1201,12226,7593
NIS_RS06535,12608,5564,7395,3279,2528,41372,31214
NIS_RS06540,6383,2374,3417,1594,1296,20744,9930
NIS_RS06545,19940,6294,10354,6099,4860,39981,31834
NIS_RS06550,5878,1791,4084,1593,1286,6253,2344
NIS_RS06555,6032,1868,5109,1854,1512,7284,3735
NIS_RS06560,7250,2934,7279,3426,2867,4769,3910
NIS_RS06565,2133,678,1881,407,339,1933,859
NIS_RS06570,4377,2624,5401,3124,2691,3181,1400
NIS_RS06575,1148,537,1006,623,516,871,377
NIS_RS06580,1473,430,1017,362,266,1598,1014
NIS_RS06585,1495,384,684,401,344,1953,637
NIS_RS06590,3871,886,2034,1800,1415,11487,5899
NIS_RS06595,4478,1200,3336,2265,1487,14985,8730
NIS_RS06600,10439,4219,8741,5102,4250,6121,8163
NIS_RS06605,4690,1232,3746,2292,1538,3961,2791
NIS_RS06610,1727,623,1878,786,639,1675,1195
NIS_RS06615,404,273,378,535,396,48,41
NIS_RS06620,813,512,720,1061,848,235,128
NIS_RS10055,12731,8783,14465,5201,4138,9477,5410
NIS_RS06630,3345,1082,2092,1291,948,4064,2392
NIS_RS06635,1786,659,2050,694,589,2858,1487
NIS_RS06640,2669,1249,3350,1209,996,1844,1231
NIS_RS06645,674,330,796,262,229,245,195
NIS_RS06650,3059,1406,3286,982,797,2691,1954
NIS_RS06655,302,81,139,70,74,284,129
NIS_RS06660,1441,491,1385,534,372,2825,1287
NIS_RS06665,2351,694,2356,417,436,1147,457
NIS_RS10205,396,160,284,110,48,429,326
NIS_RS06670,776,376,712,247,212,918,596
NIS_RS06675,167,96,180,74,108,175,77
NIS_RS10210,1001,394,945,406,421,563,289
NIS_RS06685,658,364,491,342,381,192,234
NIS_RS06690,1103,366,820,280,308,646,299
NIS_RS06695,460,107,181,90,115,198,74
NIS_RS06700,3204,904,2032,1031,808,1481,890
NIS_RS06705,686,239,554,358,260,325,167
NIS_RS06710,483,193,436,282,193,156,159
NIS_RS06715,272,112,161,115,96,73,123
NIS_RS06720,288,169,213,211,87,35,63
NIS_RS10070,400,212,231,352,82,41,57
NIS_RS10075,257,118,124,93,21,29,21
NIS_RS06735,320,240,357,206,105,53,51
NIS_RS06740,1029,599,977,487,524,379,357
NIS_RS06745,1169,806,1283,472,382,873,382
NIS_RS06750,2040,1402,2366,900,702,997,599
NIS_RS06755,1863,772,1687,569,510,1767,950
NIS_RS06760,816,384,441,267,263,839,404
NIS_RS06765,531,269,335,175,153,359,126
NIS_RS06770,997,327,451,200,191,750,321
NIS_RS06775,991,259,478,163,130,848,288
NIS_RS06780,5482,1737,2758,1419,1278,7549,3827
NIS_RS06785,3037,1086,1943,1012,877,2338,853
NIS_RS06790,1286,449,924,375,298,1782,499
NIS_RS06795,1819,652,1222,519,507,1869,610
NIS_RS06800,8684,3229,6460,3688,3234,8751,4761
NIS_RS10215,2575,1114,2374,1803,1602,1153,732
NIS_RS06810,3198,1405,3268,2423,2065,2054,839
NIS_RS06815,2371,603,897,484,277,2608,1442
NIS_RS06820,2368,690,1946,519,541,2452,729
NIS_RS06825,942,322,859,219,212,663,192
NIS_RS06830,4708,1957,5471,1655,1276,3831,1470
NIS_RS06835,1216,425,1204,388,353,919,529
NIS_RS06840,1653,678,835,609,488,4485,3588
NIS_RS06845,2263,708,1327,1036,813,5858,3748
NIS_RS06850,10263,3506,4214,3683,2521,14607,11456
NIS_RS06855,6670,2158,3380,2904,2047,11535,11311
NIS_RS06860,17251,7231,17917,11036,8530,25497,20003
NIS_RS06865,3522,1321,4271,1308,1195,1914,915
NIS_RS06870,4659,3230,4690,3828,2550,175,346
NIS_RS06875,5770,3940,5772,4803,3313,275,461
NIS_RS06880,5580,3648,5528,4593,3197,320,441
NIS_RS06885,3604,2220,3409,2954,2104,272,325
NIS_RS06890,1557,170,319,540,416,677,120
NIS_RS06895,356,89,228,85,82,122,54
NIS_RS06900,644,215,357,148,107,833,345
NIS_RS06905,3050,1322,2953,1007,815,4670,2615
NIS_RS06910,94,36,65,49,29,40,19
NIS_RS06915,2957,906,3094,866,992,1235,330
NIS_RS06920,1043,352,841,192,180,193,107
NIS_RS06925,252,74,94,14,17,28,22
